priority_rank,cve_id,version,service,cvss_score,severity,predicted_severity,priority_score,response_priority,attack_vector,attack_complexity,privileges_required,user_interaction,cwe,description
1,CVE-2010-4478,4.7p1 Debian 8ubuntu1,ssh,9.8,CRITICAL,CRITICAL,99.0,긴급 대응,NETWORK,LOW,NONE,NONE,CWE-287,"OpenSSH 5.6 and earlier, when J-PAKE is enabled, does not properly validate the public parameters in the J-PAKE protocol, which allows remote attackers to bypass the need for knowledge of the shared secret, and successfully authenticate, by sending crafted values in each round of the protocol, a related issue to CVE-2010-4252."
2,CVE-2009-3555,2.2.8,http,9.8,CRITICAL,CRITICAL,99.0,긴급 대응,NETWORK,LOW,NONE,NONE,CWE-295,"The TLS protocol, and the SSL protocol 3.0 and possibly earlier, as used in Microsoft Internet Information Services (IIS) 7.0, mod_ssl in the Apache HTTP Server 2.2.14 and earlier, OpenSSL before 0.9.8l, GnuTLS 2.8.5 and earlier, Mozilla Network Security Services (NSS) 3.12.4 and earlier, multiple Cisco products, and other products, does not properly associate renegotiation handshakes with an existing connection, which allows man-in-the-middle attackers to insert data into HTTPS sessions, and possibly other types of sessions protected by TLS or SSL, by sending an unauthenticated request that is processed retroactively by a server in a post-renegotiation context, related to a ""plaintext injection"" attack, aka the ""Project Mogul"" issue."
3,CVE-2010-0425,2.2.8,http,10.0,HIGH,HIGH,90.0,긴급 대응,NETWORK,LOW,NONE,UNKNOWN,UNKNOWN,"modules/arch/win32/mod_isapi.c in mod_isapi in the Apache HTTP Server 2.0.37 through 2.0.63, 2.2.0 through 2.2.14, and 2.3.x before 2.3.7, when running on Windows, does not ensure that request processing is complete before calling isapi_unload for an ISAPI .dll module, which allows remote attackers to execute arbitrary code via unspecified vectors related to a crafted request, a reset packet, and ""orphaned callback pointers."""
4,CVE-2011-2523,2.3.4,ftp,9.8,CRITICAL,MEDIUM,89.0,긴급 대응,NETWORK,LOW,NONE,NONE,CWE-78,vsftpd 2.3.4 downloaded between 20110630 and 20110703 contains a backdoor which opens a shell on port 6200/tcp.
5,CVE-2016-1908,4.7p1 Debian 8ubuntu1,ssh,9.8,CRITICAL,MEDIUM,89.0,긴급 대응,NETWORK,LOW,NONE,NONE,CWE-287,"The client in OpenSSH before 7.2 mishandles failed cookie generation for untrusted X11 forwarding and relies on the local X11 server for access-control decisions, which allows remote X11 clients to trigger a fallback and obtain trusted X11 forwarding privileges by leveraging configuration issues on this X11 server, as demonstrated by lack of the SECURITY extension on this X11 server."
6,CVE-2016-1286,9.4.2,domain,8.6,HIGH,HIGH,88.0,긴급 대응,NETWORK,LOW,NONE,NONE,UNKNOWN,"named in ISC BIND 9.x before 9.9.8-P4 and 9.10.x before 9.10.3-P4 allows remote attackers to cause a denial of service (assertion failure and daemon exit) via a crafted signature record for a DNAME record, related to db.c and resolver.c."
7,CVE-2008-0122,9.4.2,domain,10.0,HIGH,MEDIUM,85.0,긴급 대응,NETWORK,LOW,NONE,UNKNOWN,CWE-189,"Off-by-one error in the inet_network function in libbind in ISC BIND 9.4.2 and earlier, as used in libc in FreeBSD 6.2 through 7.0-PRERELEASE, allows context-dependent attackers to cause a denial of service (crash) and possibly execute arbitrary code via crafted input that triggers memory corruption."
8,CVE-2012-1667,9.4.2,domain,8.5,HIGH,HIGH,82.5,우선 대응,NETWORK,LOW,NONE,UNKNOWN,CWE-189,"ISC BIND 9.x before 9.7.6-P1, 9.8.x before 9.8.3-P1, 9.9.x before 9.9.1-P1, and 9.4-ESV and 9.6-ESV before 9.6-ESV-R7-P1 does not properly handle resource records with a zero-length RDATA section, which allows remote DNS servers to cause a denial of service (daemon crash or data corruption) or obtain sensitive information from process memory via a crafted record."
9,CVE-2010-5107,4.7p1 Debian 8ubuntu1,ssh,7.5,HIGH,HIGH,82.5,우선 대응,NETWORK,LOW,NONE,NONE,CWE-400,"The default configuration of OpenSSH through 6.1 enforces a fixed time limit between establishing a TCP connection and completing a login, which makes it easier for remote attackers to cause a denial of service (connection-slot exhaustion) by periodically making many new TCP connections."
10,CVE-2016-10708,4.7p1 Debian 8ubuntu1,ssh,7.5,HIGH,HIGH,82.5,우선 대응,NETWORK,LOW,NONE,NONE,CWE-476,"sshd in OpenSSH before 7.4 allows remote attackers to cause a denial of service (NULL pointer dereference and daemon crash) via an out-of-sequence NEWKEYS message, as demonstrated by Honggfuzz, related to kex.c and packet.c."
11,CVE-2016-6515,4.7p1 Debian 8ubuntu1,ssh,7.5,HIGH,HIGH,82.5,우선 대응,NETWORK,LOW,NONE,NONE,CWE-20,"The auth_password function in auth-passwd.c in sshd in OpenSSH before 7.3 does not limit password lengths for password authentication, which allows remote attackers to cause a denial of service (crypt CPU consumption) via a long string."
12,CVE-2016-2776,9.4.2,domain,7.5,HIGH,HIGH,82.5,우선 대응,NETWORK,LOW,NONE,NONE,CWE-20,"buffer.c in named in ISC BIND 9 before 9.9.9-P3, 9.10.x before 9.10.4-P3, and 9.11.x before 9.11.0rc3 does not properly construct responses, which allows remote attackers to cause a denial of service (assertion failure and daemon exit) via a crafted query."
13,CVE-2009-1955,2.2.8,http,7.5,HIGH,HIGH,82.5,우선 대응,NETWORK,LOW,NONE,NONE,CWE-776,"The expat XML parser in the apr_xml_* interface in xml/apr_xml.c in Apache APR-util before 1.3.7, as used in the mod_dav and mod_dav_svn modules in the Apache HTTP Server, allows remote attackers to cause a denial of service (memory consumption) via a crafted XML document containing a large number of nested entity references, as demonstrated by a PROPFIND request, a similar issue to CVE-2003-1564."
14,CVE-2009-2699,2.2.8,http,7.5,HIGH,HIGH,82.5,우선 대응,NETWORK,LOW,NONE,NONE,CWE-667,"The Solaris pollset feature in the Event Port backend in poll/unix/port.c in the Apache Portable Runtime (APR) library before 1.3.9, as used in the Apache HTTP Server before 2.2.14 and other products, does not properly handle errors, which allows remote attackers to cause a denial of service (daemon hang) via unspecified HTTP requests, related to the prefork and event MPMs."
15,CVE-2014-1692,4.7p1 Debian 8ubuntu1,ssh,7.3,HIGH,HIGH,81.5,우선 대응,NETWORK,LOW,NONE,NONE,CWE-119,"The hash_buffer function in schnorr.c in OpenSSH through 6.4, when Makefile.inc is modified to enable the J-PAKE protocol, does not initialize certain data structures, which might allow remote attackers to cause a denial of service (memory corruption) or have unspecified other impact via vectors that trigger an error condition."
16,CVE-2015-5600,4.7p1 Debian 8ubuntu1,ssh,8.1,HIGH,HIGH,80.7,우선 대응,NETWORK,HIGH,NONE,NONE,CWE-264,"The kbdint_next_device function in auth2-chall.c in sshd in OpenSSH through 6.9 does not properly restrict the processing of keyboard-interactive devices within a single connection, which makes it easier for remote attackers to conduct brute-force attacks or cause a denial of service (CPU consumption) via a long and duplicative list in the ssh -oKbdInteractiveDevices option, as demonstrated by a modified client that provides a different password for each pam element on this list."
